removed_family,clf,auroc_full,auroc_minus,delta
Route A (n-gram/graph/timing/structural-PH),lr,0.7902682192132954,0.8113237369532098,-0.02105551773991443
Route A (n-gram/graph/timing/structural-PH),rf,0.8038412844440675,0.8087532892514006,-0.004912004807333004
Route A (n-gram/graph/timing/structural-PH),xgb,0.7971766586660051,0.7954588231807533,0.0017178354852517286
Trace GNNs (structural + hybrid),lr,0.7902682192132954,0.7906076666999808,-0.00033944748668546243
Trace GNNs (structural + hybrid),rf,0.8038412844440675,0.8022232864548998,0.0016179979891677299
Trace GNNs (structural + hybrid),xgb,0.7971766586660051,0.7987267671578356,-0.0015501084918305708
"Text OOFs (DeBERTa, DeBERTa+Cond, RoBERTa, Step)",lr,0.7902682192132954,0.7541111767236129,0.036157042489682434
"Text OOFs (DeBERTa, DeBERTa+Cond, RoBERTa, Step)",rf,0.8038412844440675,0.7605366128794784,0.04330467156458917
"Text OOFs (DeBERTa, DeBERTa+Cond, RoBERTa, Step)",xgb,0.7971766586660051,0.7615835403910456,0.03559311827495948
Hidden-state probe (v2),lr,0.7902682192132954,0.7801770654775286,0.010091153735766745
Hidden-state probe (v2),rf,0.8038412844440675,0.7923756311174769,0.011465653326590663
Hidden-state probe (v2),xgb,0.7971766586660051,0.7864604696587019,0.0107161890073032
Shapelet OOF,lr,0.7902682192132954,0.7887837932846777,0.0014844259286176387
Shapelet OOF,rf,0.8038412844440675,0.800383228856021,0.0034580555880465713
Shapelet OOF,xgb,0.7971766586660051,0.7960647842359325,0.0011118744300725458
