variant,clf,auroc_pooled,ece_pooled
ULTRA_ALL-shapelet,rf,0.800383228856021,0.048565838816943444
ULTRA_ALL-route_a,rf,0.8087532892514006,0.049117759750836286
ULTRA_ALL-gnn,rf,0.8022232864548998,0.04952966037129643
C+rec+structural_ph,rf,0.6608702067361304,0.05257086438689907
ULTRA_HYBRID_ALL,rf,0.8038412844440675,0.05275246013074343
ULTRA_ALL-text,rf,0.7605366128794784,0.05394446035354558
ULTRA_ALL-probe,rf,0.7923756311174769,0.05500633964757006
ROUTE_A_FULL+gnn_h,rf,0.7058721157341477,0.05529274431147983
ROUTE_A_FULL+shapelet,rf,0.6741627811489571,0.05539997578874639
ROUTE_AB_TOTAL,rf,0.6727815556636603,0.05709578464774091
ULTRA_STRUCTURAL,rf,0.6727815556636603,0.05709578464774091
ROUTE_A_FULL,rf,0.6644509048062085,0.05742626850392755
ROUTE_AB+deberta+step,rf,0.7460153016201103,0.057903717166756546
ULTRA_HYBRID_CORE,rf,0.7874252676932273,0.057925533962502884
ROUTE_A_FULL+gnn_s,rf,0.6656132234448288,0.058777233551213955
ROUTE_AB+deberta,rf,0.7394263421548695,0.05903077548641302
C+rec+timing,rf,0.6729421363942039,0.06025913719421529
baselineC+rec,rf,0.6645057628830042,0.060832667213171945
C+rec+graph,rf,0.6588984687345221,0.061143151933222846
ULTRA_TEXT_ONLY,rf,0.7945712152945159,0.061255285610728016
ULTRA_HYBRID_CORE,xgb,0.7882559156606462,0.0658501660644193
ULTRA_ALL-shapelet,xgb,0.7960647842359325,0.06592845323103307
ULTRA_ALL-gnn,xgb,0.7987267671578356,0.06656470062803657
ULTRA_ALL-text,xgb,0.7615835403910456,0.06772288374739614
ULTRA_HYBRID_ALL,xgb,0.7971766586660051,0.0680506203508869
baselineC,rf,0.6591421247710174,0.07143650696071997
ROUTE_AB+deberta,xgb,0.7541842157339059,0.0721716153342042
C+rec+ngram,rf,0.6596097320750445,0.07262671181608155
ULTRA_ALL-probe,xgb,0.7864604696587019,0.07576160631312852
ROUTE_A_FULL+gnn_h,xgb,0.7062588021202962,0.07648542871778598
ULTRA_ALL-route_a,xgb,0.7954588231807533,0.07670558786752527
ROUTE_AB+deberta+step,xgb,0.7521807399177528,0.07740264289547347
ROUTE_A_FULL+shapelet,xgb,0.6691396939907182,0.0780138999985914
ULTRA_ALL-gnn,lr,0.7906076666999808,0.08197101762703976
ROUTE_A_FULL,xgb,0.6540784720617379,0.08202525019154777
ULTRA_ALL-shapelet,lr,0.7887837932846777,0.08205379817155581
ULTRA_HYBRID_ALL,lr,0.7902682192132954,0.08207638423204046
ULTRA_ALL-route_a,lr,0.8113237369532098,0.08274226946542283
ULTRA_TEXT_ONLY,lr,0.8128014369873542,0.08302894070684695
ULTRA_STRUCTURAL,xgb,0.6655897879062742,0.08303742961632735
ROUTE_AB_TOTAL,xgb,0.6655897879062742,0.08303742961632735
ROUTE_A_FULL+gnn_s,xgb,0.659087371786323,0.08355094295601073
ULTRA_ALL-probe,lr,0.7801770654775286,0.08472581404188967
C+rec+structural_ph,xgb,0.6460171197134601,0.08500716610019499
ULTRA_HYBRID_CORE,lr,0.7803543558521535,0.08589831552162285
C+rec+timing,xgb,0.6580886290031289,0.08672525888234892
baselineC+rec,xgb,0.646115380828027,0.08780146985606044
ULTRA_TEXT_ONLY,xgb,0.7894070945365455,0.08817642474419898
C+rec+graph,xgb,0.6472249432318742,0.08888810614246084
C+rec+ngram,xgb,0.6477134113179779,0.09072624783904831
ULTRA_ALL-text,lr,0.7541111767236129,0.09275786103878801
deberta_only,lr,0.7601286453428489,0.09287259639898711
deberta_only,xgb,0.7441604260349707,0.09379680131821601
ROUTE_AB+deberta,lr,0.7476894187912875,0.0939991369195717
ROUTE_AB+deberta+step,lr,0.746751997249109,0.09446525942311094
baselineC,xgb,0.6410206734028602,0.09675705837835133
ROUTE_A_FULL+gnn_h,lr,0.7055833226402121,0.10155019126927824
C+rec+timing,lr,0.6611707701453939,0.10460560305988799
step_only,lr,0.672785023702998,0.10653807304167418
C+rec+graph,lr,0.6526910986885242,0.10725058067343787
deberta_only,rf,0.7060553438124871,0.10749619304857798
baselineC+rec,lr,0.6481245316176417,0.10811088541632391
C+rec+structural_ph,lr,0.647068250909073,0.10887245620272738
baselineC,lr,0.6435416227250319,0.1088751518340718
C+rec+ngram,lr,0.6479327385330593,0.11046792018459164
ROUTE_A_FULL,lr,0.6505357647862221,0.11402024950345967
ROUTE_A_FULL+shapelet,lr,0.6567417686349052,0.1145568962927479
ROUTE_AB_TOTAL,lr,0.6562281835366287,0.11535677408728814
ULTRA_STRUCTURAL,lr,0.6562281835366287,0.11535677408728814
step_only,xgb,0.6537378685619397,0.11621998023819577
ROUTE_A_FULL+gnn_s,lr,0.649979091926478,0.11657668781733758
step_only,rf,0.6208580707002906,0.15266830142073334
