variant,clf,group,auroc,auprc,ece,accuracy,accuracy_at_80,accuracy_at_90,prr,n_samples
ULTRA_TEXT_ONLY,lr,arc_challenge_llama8b,0.6901434386509013,0.7951077391013872,0.07971973272212131,0.6663822525597269,0.7086446104589115,0.683111954459203,,1172
ULTRA_TEXT_ONLY,lr,arc_challenge_qwen7b,0.7478085624660463,0.8608960698802097,0.08678917054074209,0.7295221843003413,0.7822838847385272,0.7466793168880456,,1172
ULTRA_TEXT_ONLY,lr,gpqa_diamond_llama8b,0.7117584745762712,0.6574561884732553,0.1567997036106659,0.6515151515151515,0.45569620253164556,0.42134831460674155,,198
ULTRA_TEXT_ONLY,lr,gpqa_diamond_qwen7b,0.7876868770764119,0.7732100408940052,0.06418234790966969,0.7474747474747475,0.4873417721518987,0.449438202247191,,198
ULTRA_TEXT_ONLY,lr,gsm8k_llama8b,0.7823474339425007,0.7405192181962702,0.04384642279084837,0.7119029567854435,0.5355450236966824,0.4962089300758214,,1319
ULTRA_TEXT_ONLY,lr,gsm8k_qwen7b,0.8639217712639358,0.9234430995741368,0.12567350420877735,0.7846853677028052,0.7914691943127962,0.7304128053917439,,1319
ULTRA_TEXT_ONLY,lr,math500_llama8b,0.8698476100966703,0.8987473036736401,0.07928251592814922,0.804,0.7225,0.6688888888888889,,500
ULTRA_TEXT_ONLY,lr,math500_qwen7b,0.926562904800813,0.9646587353414972,0.11644290597736838,0.896,0.87,0.8,,500
ULTRA_TEXT_ONLY,rf,arc_challenge_llama8b,0.6825741422756347,0.785464334574715,0.0568846418735263,0.6604095563139932,0.7086446104589115,0.6821631878557874,,1172
ULTRA_TEXT_ONLY,rf,arc_challenge_qwen7b,0.7309605173229589,0.8537067684936922,0.06172751522791469,0.7192832764505119,0.775880469583778,0.7447817836812144,,1172
ULTRA_TEXT_ONLY,rf,gpqa_diamond_llama8b,0.683156779661017,0.6235058623771716,0.11107048106313955,0.6616161616161617,0.4430379746835443,0.4101123595505618,,198
ULTRA_TEXT_ONLY,rf,gpqa_diamond_qwen7b,0.7804194352159469,0.7622065515517471,0.09850757740287466,0.7676767676767676,0.4810126582278481,0.4606741573033708,,198
ULTRA_TEXT_ONLY,rf,gsm8k_llama8b,0.7626587998646638,0.7224710652404405,0.038640245600371215,0.6876421531463229,0.5270142180094787,0.4919966301600674,,1319
ULTRA_TEXT_ONLY,rf,gsm8k_qwen7b,0.8588093448578229,0.9211553081134315,0.08224682111951145,0.7892342683851402,0.785781990521327,0.7253580454928391,,1319
ULTRA_TEXT_ONLY,rf,math500_llama8b,0.8685888829215896,0.9031810568622857,0.035745794314891104,0.796,0.7175,0.6688888888888889,,500
ULTRA_TEXT_ONLY,rf,math500_qwen7b,0.9285258773590547,0.9590069194157769,0.054748158108443,0.886,0.87,0.7955555555555556,,500
ULTRA_TEXT_ONLY,xgb,arc_challenge_llama8b,0.6797505976610454,0.785275690768105,0.07036370683442356,0.6527303754266212,0.7097118463180363,0.6869070208728653,,1172
ULTRA_TEXT_ONLY,xgb,arc_challenge_qwen7b,0.7285105935544924,0.8617576005113382,0.07313913319723955,0.712457337883959,0.7705442902881536,0.7438330170777988,,1172
ULTRA_TEXT_ONLY,xgb,gpqa_diamond_llama8b,0.6967161016949153,0.643110052259192,0.13375121562017334,0.6767676767676768,0.43670886075949367,0.4157303370786517,,198
ULTRA_TEXT_ONLY,xgb,gpqa_diamond_qwen7b,0.7869601328903655,0.7841359934083988,0.09156021149358666,0.7474747474747475,0.4873417721518987,0.4438202247191011,,198
ULTRA_TEXT_ONLY,xgb,gsm8k_llama8b,0.7563230270811414,0.7065037366427707,0.06043869128748718,0.6876421531463229,0.5298578199052133,0.489469250210615,,1319
ULTRA_TEXT_ONLY,xgb,gsm8k_qwen7b,0.8463127374838199,0.913806252286316,0.08370496124068699,0.7793783169067475,0.7791469194312797,0.7228306655433867,,1319
ULTRA_TEXT_ONLY,xgb,math500_llama8b,0.8549107142857143,0.8782568907414718,0.0729260494266637,0.766,0.7325,0.6666666666666666,,500
ULTRA_TEXT_ONLY,xgb,math500_qwen7b,0.9269415492536718,0.9622901967923836,0.0401647000359371,0.88,0.8725,0.7955555555555556,,500
